shapeName,imds,rank_imds,COORD_X,COORD_Y,sdg2_2_cmc,sdg2_2_oww,sdg3_3_cdir,sdg3_3_di,sdg3_3_imr,sdg3_3_ti,sdg3_3_hivi,sdg3_7_afr,sdg3_2_mrc,index_sdg1,sdg1_4_abs
Batallas,53.0,117,-68.434729,-16.164549,23.1,21.700001,0,0,0,5,0,39,48.799999,37.220001,31.6
Padilla,54.200001,96,-64.160629,-19.375145,40.599998,16.9,1,0,0,9,69,92,27.799999,35.18,34.099998
Mojocoya,46.700001,262,-64.643755,-18.781303,40.599998,16.9,4,0,0,0,89,54,30.799999,30.440001,26.9
Pucará,52.900002,118,-64.19104,-18.762325,12.5,31.200001,7,0,0,0,0,74,22.6,38.419998,29.299999
Villa Serrano,52.400002,132,-64.299022,-18.952216,24.299999,27.1,0,0,0,34,21,55,26.700001,40.240002,41.0
Macharetí,48.0,224,-62.87946,-20.725258,24.299999,27.1,21,5,0,25,65,93,13.6,39.889999,35.400002
Boyuibe,55.5,74,-63.075601,-20.338891,12.5,31.200001,1,0,0,68,43,69,11.6,53.110001,56.599998
Cuevo,54.700001,90,-63.539361,-20.330302,12.5,31.200001,11,0,0,18,46,66,16.9,48.709999,54.700001
Camiri,62.700001,19,-63.487456,-20.034517,7.6,32.799999,5,0,0,62,75,56,22.4,81.32,87.400002
Cocapata,40.299999,324,-66.55238,-16.48881,30.200001,14.7,0,0,0,15,0,76,45.5,5.45,8.9
Vallegrande,60.900002,26,-63.939699,-18.783797,7.6,32.799999,1,0,0,21,40,84,19.200001,63.98,62.599998
Gutiérrez,46.799999,260,-63.501133,-19.396654,20.9,19.5,0,0,0,44,0,114,26.4,26.540001,16.6
Sucre,69.599998,5,-65.250075,-18.937407,14.8,28.5,1,0,0,57,266,44,24.700001,78.739998,79.5
Presto,44.099998,292,-64.893186,-18.755622,40.599998,16.9,3,0,0,51,37,92,33.0,10.24,18.4
Postrervalle,53.400002,104,-63.763883,-18.624948,20.9,19.5,0,0,0,0,0,77,17.5,40.68,38.700001
Trigal,58.799999,37,-64.132951,-18.286779,7.6,32.799999,5,0,0,0,0,40,20.4,66.910004,61.799999
Quirusillas,52.900002,119,-63.938608,-18.370062,7.6,32.799999,1,0,0,53,0,37,25.200001,47.689999,52.599998
Cabezas,49.799999,188,-63.268835,-18.464391,12.5,31.200001,0,0,0,36,33,72,22.0,55.720001,64.199997
Cotoca,55.0,83,-62.908561,-17.75432,7.6,32.799999,0,0,0,116,126,87,25.700001,76.129997,75.400002
Yapacaní,47.799999,228,-64.362292,-16.751756,12.5,31.200001,0,0,0,131,284,97,24.9,42.889999,47.900002
Cuatro Cañadas,53.599998,102,-62.242654,-17.23731,7.6,32.799999,2,0,0,77,0,56,22.700001,68.959999,73.800003
San Ramón,49.200001,201,-62.4342,-16.576975,7.6,32.799999,0,0,0,45,29,84,25.5,54.310001,62.0
San Javier,46.5,264,-62.491025,-16.233524,25.200001,20.1,0,0,0,17,0,148,23.700001,31.26,28.1
San Miguel,47.799999,231,-61.272287,-16.842899,12.5,31.200001,0,0,0,72,0,125,19.200001,42.509998,49.299999
Villa Tunari,53.400002,105,-65.572556,-16.63465,30.200001,14.7,0,1,0,98,62,99,33.400002,26.15,21.5
Chimoré,53.900002,99,-64.912612,-16.561631,30.200001,14.7,0,0,0,83,0,104,26.299999,36.759998,35.200001
Tiraque,53.700001,101,-65.517918,-17.337053,18.1,23.4,0,0,0,36,11,67,60.0,40.630001,39.599998
Shinahota,54.700001,87,-65.319859,-17.060249,18.1,23.4,0,0,0,158,0,101,32.099998,39.48,43.799999
Montero,61.799999,22,-63.250179,-17.333826,7.6,32.799999,0,0,0,149,434,70,23.799999,79.489998,85.699997
Ascención de Guarayos,45.5,279,-63.430755,-15.345087,12.5,31.200001,0,0,0,44,391,106,22.9,43.77,40.799999
San Andrés,47.299999,247,-64.141987,-15.374025,15.1,32.099998,0,2,0,45,19,110,32.900002,36.029999,39.400002
Vacas,46.400002,267,-65.581842,-17.589694,18.1,23.4,0,0,0,0,0,65,45.5,25.969999,22.200001
Pocona,51.099998,159,-65.371176,-17.682532,18.1,23.4,1,0,0,18,0,67,52.599998,32.869999,26.5
Okinawa Uno,56.099998,68,-62.865311,-17.324018,7.6,32.799999,0,0,0,65,18,98,22.200001,68.449997,83.0
Warnes,60.099998,28,-63.070369,-17.412384,7.6,32.799999,0,0,0,82,113,102,27.9,72.459999,79.5
General Saavedra,53.099998,110,-63.177766,-17.168649,7.6,32.799999,0,0,0,55,34,87,28.700001,62.73,69.900002
Pailón,54.0,98,-61.921332,-17.75701,7.6,32.799999,0,0,0,46,51,60,24.4,66.410004,73.199997
Fernández Alonso,57.5,55,-63.210941,-16.888673,7.6,32.799999,0,0,0,54,0,70,20.4,63.810001,72.099998
Mineros,57.700001,51,-63.273704,-17.052994,7.6,32.799999,0,0,0,53,154,80,27.700001,67.139999,76.699997
Pampa Grande,57.799999,49,-64.153379,-18.045574,7.6,32.799999,5,0,0,29,0,83,28.5,58.82,67.400002
Mairana,57.299999,56,-64.006619,-17.984715,7.6,32.799999,0,0,0,32,85,124,28.0,66.440002,77.900002
Puerto Villarroel,49.599998,193,-64.884391,-17.033153,18.1,23.4,0,0,0,198,508,90,34.900002,37.669998,36.400002
Colpa Bélgica,58.099998,43,-63.292178,-17.543384,7.6,32.799999,0,0,0,63,0,109,20.4,72.790001,79.699997
Puerto Suarez,58.400002,42,-58.256704,-19.071256,7.6,32.799999,0,0,0,51,122,64,26.4,73.790001,82.699997
El Carmen Rivero Tórrez,51.599998,148,-58.586382,-18.455465,12.5,31.200001,0,0,0,145,0,79,25.700001,50.25,56.700001
Roboré,58.599998,41,-59.611684,-18.215463,7.6,32.799999,0,0,0,24,15,73,26.4,73.029999,76.699997
San Matías,52.599998,127,-58.823365,-17.255064,12.5,31.200001,0,0,0,25,47,97,27.299999,48.650002,52.799999
Charagua,48.099998,222,-61.600804,-19.090404,12.5,31.200001,0,0,0,28,20,76,29.700001,40.220001,44.099998
San José,52.200001,136,-60.424628,-17.702364,7.6,32.799999,0,0,0,28,34,62,23.6,67.510002,82.900002
San Rafael,49.799999,190,-60.141061,-16.815589,12.5,31.200001,0,0,0,28,108,140,21.4,44.130001,57.5
Ayopaya,43.5,298,-66.805143,-17.144156,30.200001,14.7,0,0,0,84,0,83,50.700001,15.77,11.2
San Ignacio,51.700001,146,-60.994399,-15.029654,12.5,31.200001,0,0,0,34,89,106,25.299999,52.110001,65.5
Urubicha,50.0,185,-63.01854,-14.952609,12.5,31.200001,0,0,0,22,206,93,18.299999,44.509998,55.0
Baures,51.0,163,-62.875731,-13.625339,15.1,32.099998,0,0,1,32,0,139,23.9,34.009998,24.6
Trinidad,61.299999,24,-64.656889,-14.835017,9.2,33.799999,0,3,0,115,403,82,17.700001,72.18,66.300003
